CKD_number,High school diploma only 2014-18,30-39,40-49,N_POP_CHG_2018,60-69,Some college or associate's degree 2014-18,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Family Medicine/General Practice Primary Care (2019),CI90LBINC_2018,CI90UBINC_2018,Heart disease_prevalence,Heart disease_number,Population Aged 60+,COPD_number,anycondition_prevalence,anycondition_number,Percent of Population Aged 60+,Active Primary Care Physicians per 100000 Population 2018 (AAMC),Total physician assistants (2019),Internal Medicine Primary Care (2019),Total Specialist Physicians (2019),Unemployed_2018,Asian-alone pop,Total nurse practitioners (2019),White-alone pop,CKD_prevalence,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),R_NET_MIG_2018,Total Hospitals (2019),Bachelor's degree or higher 2014-18,Civilian_labor_force_2018,Less than a high school diploma 2014-18,70-79,Hawaiian/Pacific Islander-alone pop,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Native American/American Indian-alone pop,R_death_2018,R_DOMESTIC_MIG_2018,Active General Surgeons per 100000 Population 2018 (AAMC),Obesity_prevalence,diabetes_number,R_INTERNATIONAL_MIG_2018,R_birth_2018,19-Oct,20-29,Active Physicians per 100000 Population 2018 (AAMC),county_pop2018_18 and older,Black-alone pop,GQ_ESTIMATES_2018,Employed_2018,0-9,POP_ESTIMATE_2018,Two or more races pop,50-59,diabetes_prevalence,Median_Household_Income_2018,COPD_prevalence,80+
229,2117,1005,664,73,514,760,8.5,6.665476962,30532,34924,10.6,522,674,716,55.7,2734,8.3,112.8,3.895701062,2.454516854,9.525326875,539,41,5.40444078,319,4.7,256.7,67,0.236444284,190,2708,880,197,1,105.6,7658,12.8,71,9.6,43.1,895,24,30.1,1544,1374,276.9,4912,72,9,2169,2114,8303,212,800,18.2,32728,14.6,91
258,2398,1127,1126,-70,1485,2604,6.5,7.201633005,49149,59717,7.8,640,3095,585,44.9,3683,29.4,84.8,2.842662172,4.258994438,13.62011758,129,112,6.405154389,10035,3.2,193.1,229,0.393240488,1612,4979,591,860,2,77.9,40,10.3,349,6.9,35.6,885,12,10.1,1381,1236,218.2,8199,178,439,4850,1251,10518,151,1331,10.8,54433,7.1,721
6062,65856,35929,38441,558,35155,55882,6.7,88.58181426,77033,85597,6.1,13997,60833,14891,44.8,102106,20.9,97.7,60.9081751,231.2678829,512.5184143,6235,9032,180.4674554,242119,2.7,271.0,171,2.682314908,63633,147175,14261,20006,207,87.5,810,9.2,128,7.6,34.7,23118,5,9.5,38160,37144,306.5,227968,32708,4239,140940,32387,291408,6532,43575,10.1,81315,6.5,10611
7691,66521,35875,38807,1839,40316,71981,7.1,143.1159987,56119,62411,8.4,20163,71677,21680,45.7,110292,23.5,93.7,59.19485259,209.2998679,603.120363,8220,4169,159.8737544,266758,3.2,248.6,222,5.135868248,50672,152368,21800,24212,230,83.7,1148,9.9,158,8.3,35.2,33089,56,10.3,40164,36494,292.7,241295,27922,8624,144148,36047,309461,9234,43722,13.7,59265,9.0,13824
226,1428,802,808,-36,783,1258,6.1,2.155652064,33388,41798,10.9,542,1466,671,54.2,2685,21.6,79.1,2.102566525,3.145950154,8.081641337,126,24,3.04293893,4632,4.6,202.9,92,0.091635752,500,2766,1312,519,7,71.9,58,10.1,267,7.0,39.3,893,42,12.5,914,855,228.7,4955,1819,126,2640,925,6648,108,844,18.0,37593,13.6,198
436,5300,1808,2046,4,2140,2955,6.1,8.274381123,48294,58248,8.9,1150,4040,1463,47.9,6166,24.1,80.3,2.104078257,6.551277982,21.67823113,260,64,8.59808547,16153,3.4,212.0,318,0.328684414,1500,9038,1770,1344,6,74.4,59,11.1,357,6.5,36.9,1762,12,11.9,2225,1946,230.8,12874,177,178,8778,1942,16663,204,2424,13.7,53271,11.4,788
782,5059,3129,2918,416,3256,6183,6.1,8.851208544,41557,51493,7.8,1694,5201,1890,48.9,10555,19.2,79.1,8.63323683,12.91741898,33.18359861,607,318,12.49445006,14130,3.6,202.9,242,0.376260697,3384,11911,2789,1975,19,71.9,138,9.9,298,7.0,37.7,3188,39,11.6,3991,4271,228.7,21597,12163,1441,11304,3114,27297,529,3733,14.8,46525,8.8,910
2183,22220,9431,10845,-155,12600,23124,6.7,53.04093162,61987,68431,8.3,5789,20857,6699,48.7,34019,23.6,97.8,33.31460141,65.29943682,178.7962867,2137,596,38.92427657,84603,3.1,249.7,117,1.268121228,11066,41369,5765,7141,12,87.6,456,9.9,118,7.9,36.7,7745,2,8.8,11113,10075,287.0,69853,1075,1618,39232,9058,88028,1286,14517,11.1,65209,9.6,3248
134,1410,594,620,-51,816,1238,6.2,3.728533309,48940,60330,7.7,328,1552,311,42.4,1802,26.9,88.2,2.432424111,2.645483157,8.122876137,91,17,3.092315324,5508,3.2,214.5,408,0.275201268,798,3046,444,496,11,80.3,57,9.8,281,6.8,37.4,472,49,13.6,810,582,239.2,4250,40,70,2955,787,5709,76,728,11.1,54635,7.3,276
800,6133,4103,3846,193,3393,6135,6.7,11.69276753,40247,48347,8.6,2004,6065,2345,53.2,12445,19.5,65.9,1.140497835,12.5667939,36.03759982,559,126,22.23437836,26161,3.4,174.8,169,1.055226969,3211,14423,4730,2065,17,61.2,193,8.9,19,7.1,40.8,3223,6,13.8,4680,3910,191.3,23378,4881,234,13864,4475,31833,455,4201,13.8,44297,10.0,1160
20347,163614,87852,83677,22179,84657,135806,6.0,275.234756,49812,52896,9.3,51440,169578,55051,47.0,259132,26.0,86.8,202.5368803,385.4283812,967.4102784,12156,13737,410.8576793,558736,3.7,240.7,248,7.213278026,92267,298759,70084,67138,780,80.1,4725,10.1,243,6.9,33.2,75763,70,11.3,89949,90629,265.2,551522,114154,13542,286603,83742,708009,15877,85916,13.7,51354,10.0,34449
2713,24905,10892,12394,615,13686,20759,7.4,35.94669904,43526,50878,9.5,7364,23741,8880,50.9,39579,24.9,85.1,17.23590718,51.86677774,146.0858811,1855,1257,83.11408934,93234,3.5,225.8,403,1.662860173,11714,53097,11002,9065,48,77.8,616,10.6,319,8.1,36.8,11033,35,10.8,11345,11812,253.1,77719,1304,980,51242,10763,97892,1433,14201,14.2,47202,11.4,3734
796,7770,3356,3467,121,3479,5261,7.4,10.22563364,39309,47673,9.9,2136,6460,2649,55.9,12028,23.2,85.1,4.903039139,14.75436358,41.55654733,563,90,23.64317867,24902,3.7,225.8,282,0.473028105,2666,11981,3637,2322,5,77.8,93,11.7,50,8.1,40.2,3255,0,11.2,3637,3193,253.1,21503,2185,218,11418,3302,27847,572,3932,15.1,43491,12.3,1159
114,1066,408,433,-32,582,1125,9.7,3.151716208,42194,52526,9.6,303,1309,255,51.5,1629,30.6,87.0,1.218806779,1.884586693,4.848381151,57,4,2.453721136,3798,3.6,217.1,380,0.209398521,579,1794,243,376,0,79.6,195,11.7,270,10.5,39.9,393,0,9.5,475,425,237.6,3166,36,239,1737,513,4081,48,540,12.4,47360,8.1,329
4624,35959,26656,37203,4484,22558,43240,6.2,91.42223926,77976,82880,6.2,10713,36152,11535,40.3,69524,16.3,86.2,96.37503453,114.8457802,340.3115611,4151,7903,107.1666756,192500,2.7,223.5,360,2.544555367,50162,121250,14675,13870,172,78.1,1515,6.3,282,7.1,32.0,18026,6,10.3,40472,25221,255.0,172613,29128,2664,117099,30167,235908,4690,33901,10.4,80428,6.7,5860
470,4785,1776,1822,76,2403,3122,6.3,7.485708204,34813,42717,10.0,1284,4324,1535,50.7,6485,26.3,86.6,1.819442966,10.426913,29.72668847,273,47,9.348927242,16164,3.7,236.3,163,0.333792544,1406,6966,2046,1481,12,79.0,156,12.3,260,7.0,37.9,1770,4,12.9,2169,1759,273.1,12803,59,199,6693,2118,16762,324,2410,13.8,38765,12.0,824
563,7256,2570,2753,44,3018,4303,6.3,10.21927341,53135,64251,8.3,1480,5551,1791,49.8,8830,24.3,86.6,2.483851175,14.23452155,40.58201958,397,85,12.76288641,21912,3.2,236.3,101,0.455683975,2189,11048,2035,1935,25,79.0,145,12.4,133,7.0,35.7,2184,7,10.8,2950,2581,273.1,17740,339,311,10651,2671,22883,377,3423,12.3,58693,10.1,982
1718,11817,9376,7313,173,6961,12282,5.8,47.02173099,44222,51274,6.5,4307,13033,4639,41.5,27454,16.2,73.9,26.79822545,27.44321379,96.99792472,1135,3792,23.53167157,66048,2.6,189.1,216,2.600759457,16171,38700,3603,4471,84,68.5,4351,7.3,141,6.2,31.4,6077,41,10.3,12308,22938,206.7,66227,3192,7794,37565,8756,82040,4573,7296,9.2,47748,7.0,2621
8878,65338,68831,54053,227,46989,111724,6.3,197.0904983,74617,78423,5.6,19518,81616,20752,40.0,140131,18.1,90.3,111.0979425,224.5214365,621.1336916,6647,33383,236.677729,303731,2.5,231.8,71,5.073930769,107434,232342,20860,27997,798,81.7,2073,7.4,69,7.3,31.3,35378,35,12.6,53990,69587,263.2,350616,91216,9620,225695,55744,450189,18988,58031,10.1,76520,5.9,14967
3794,45685,18110,19055,348,19339,25413,7.2,87.09503508,56093,65395,7.8,9449,38030,10272,43.2,52067,24.9,100.8,68.53716739,125.4439317,323.6081072,2846,1769,84.66498205,143036,3.2,273.3,274,2.405873401,22455,77064,13451,13340,97,88.2,505,10.5,255,8.7,32.8,14177,13,11.9,19314,17789,320.5,120430,6297,2613,74218,18622,154835,3131,21157,11.8,60744,8.5,8109
