CKD_number,High school diploma only 2014-18,30-39,40-49,N_POP_CHG_2018,60-69,Some college or associate's degree 2014-18,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Family Medicine/General Practice Primary Care (2019),CI90LBINC_2018,CI90UBINC_2018,Heart disease_prevalence,Heart disease_number,Population Aged 60+,COPD_number,anycondition_prevalence,anycondition_number,Percent of Population Aged 60+,Active Primary Care Physicians per 100000 Population 2018 (AAMC),Total physician assistants (2019),Internal Medicine Primary Care (2019),Total Specialist Physicians (2019),Unemployed_2018,Asian-alone pop,Total nurse practitioners (2019),White-alone pop,CKD_prevalence,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),R_NET_MIG_2018,Total Hospitals (2019),Bachelor's degree or higher 2014-18,Civilian_labor_force_2018,Less than a high school diploma 2014-18,70-79,Hawaiian/Pacific Islander-alone pop,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Native American/American Indian-alone pop,R_death_2018,R_DOMESTIC_MIG_2018,Active General Surgeons per 100000 Population 2018 (AAMC),Obesity_prevalence,diabetes_number,R_INTERNATIONAL_MIG_2018,R_birth_2018,19-Oct,20-29,Active Physicians per 100000 Population 2018 (AAMC),county_pop2018_18 and older,Black-alone pop,GQ_ESTIMATES_2018,Employed_2018,0-9,POP_ESTIMATE_2018,Two or more races pop,50-59,diabetes_prevalence,Median_Household_Income_2018,COPD_prevalence,80+
3676,26092,22609,19288,1378,16501,30267,6.1,95.86225332,48477,56061,5.4,8250,28594,10628,34.3,52468,15.4,80.3,24.37664883,75.89936457,251.1516032,3081,16527,99.61250698,160526,2.4,212.0,25,3.807949876,39360,97693,8638,9307,107,74.4,764,6.2,134,6.5,28.2,14474,86,12.1,29295,49274,230.8,153065,10921,15858,94612,22620,193048,4203,18583,9.5,52269,6.9,5571
17721,135741,97869,97110,5478,97432,133206,7.3,225.7771453,74030,78716,6.4,40012,173485,39418,38.5,239442,22.4,134.3,248.1143058,1053.053931,2373.695589,14703,30829,717.5383249,673611,2.8,353.7,237,8.591215576,212106,429887,57928,56281,1332,114.6,7012,8.8,112,9.6,30.1,60737,67,10.7,99852,100879,449.5,622150,55976,19527,415184,90025,790638,21878,116485,9.8,76373,6.3,34705
844,7887,3411,3277,171,3447,4679,7.8,10.55054595,40074,48840,9.7,2017,6289,2324,51.8,10804,23.2,84.1,4.515774967,14.76016668,44.11564776,618,107,13.91824253,16700,4.0,231.8,207,0.930237868,2619,10754,3249,2195,14,75.8,305,10.9,105,9.1,39.8,3412,7,11.4,3680,3146,260.3,20865,9906,215,10136,3498,27436,404,3641,16.4,44457,11.1,1141
1507,13489,6884,7474,13,6965,13267,6.9,22.10474049,46157,54667,9.2,4101,13600,4661,46.3,20584,23.6,77.2,6.330854476,27.03925697,75.04725063,878,185,30.02126693,55456,3.4,196.7,4,1.195170658,5010,25006,7861,4931,70,71.2,378,11.4,4,7.6,34.0,6017,3,11.8,7570,6742,217.1,44448,950,489,24128,7095,57840,801,7844,13.5,50412,10.5,2335
8129,51909,50603,34726,-5028,34971,62051,6.3,135.2438194,41328,45198,6.9,16912,57543,19608,48.1,118019,18.3,86.6,32.87176167,188.3823815,537.0702113,5878,10652,168.9064806,144301,3.3,236.3,134,6.030608907,76966,153678,28768,16466,146,79.0,935,10.6,448,7.0,37.8,32940,31,13.3,29933,53269,273.1,245312,139095,11551,147800,34698,302838,7709,38255,13.4,43263,8.0,9917
1922,13169,9527,9368,-476,11886,14573,8.6,22.09311889,71366,84154,6.7,4621,22925,4598,34.9,23928,27.6,117.5,23.81060516,102.1123658,201.492367,1584,1616,50.97811532,74288,2.8,325.3,338,0.858743137,29067,44657,3863,7989,123,106.6,472,8.9,123,10.1,26.1,6410,14,8.2,9194,10520,370.0,68588,3661,3866,43073,7243,82542,2382,12073,9.3,77760,6.7,4742
1771,18502,8208,8497,-369,9010,13389,9.2,46.42431522,43899,51985,9.8,5230,17201,6252,52.6,27929,25.1,100.1,24.9890754,36.51098441,104.8568538,1542,430,35.23908536,64560,3.3,231.6,160,2.094892548,10858,34132,5609,5734,16,89.4,152,12.6,5,10.5,40.0,7458,7,10.3,7959,7720,263.4,53120,1233,911,32590,7801,67554,1163,9383,14.0,47942,11.8,3242
919,9580,3362,3773,-136,4061,5057,7.4,11.11427635,39196,45868,10.5,2491,7883,3033,53.4,12664,25.7,85.1,5.32913009,16.03656848,45.16795411,608,141,25.69785214,26237,3.9,225.8,76,0.514135873,3194,12291,3541,2834,32,77.8,104,13.1,34,8.1,37.2,3804,12,11.1,3691,3526,253.1,23707,3278,461,11683,3533,30267,475,4031,16.0,42532,12.8,1456
752,7696,3376,3961,247,3296,5193,7.6,11.99213947,41813,51445,10.0,2161,5851,2794,54.0,11612,21.2,77.3,6.223289221,12.4655134,40.74802759,696,116,18.51838801,26778,3.5,214.6,222,0.662723497,3079,11663,2899,1992,19,72.9,79,10.2,115,8.3,40.1,3222,0,13.4,3610,3571,230.9,21513,803,357,10967,3690,28203,408,3754,15.0,46629,13.0,953
468,3540,2151,1771,148,3175,4263,6.5,12.58539801,41672,51758,7.4,1146,5327,1046,39.6,6140,29.7,84.8,4.967767007,7.442914695,23.80218494,219,2199,11.19349143,15313,3.0,193.1,88,0.687217476,4030,9203,935,1639,4,77.9,58,10.2,293,6.9,31.0,1610,88,8.3,1638,3571,218.2,15523,478,1715,8984,1539,18381,329,2066,10.4,46715,6.7,831
